date,product_id,partner_id,forecast_units,forecast_lower,forecast_upper,forecast_model,forecast_accuracy_mape
2025-09-22,ACC-APPLECARE-IPHONE,PARTNER-001,1129,933,1325,Ensemble,0.0883
2025-09-29,ACC-APPLECARE-IPHONE,PARTNER-001,1224,1011,1437,Ensemble,0.079
2025-10-06,ACC-APPLECARE-IPHONE,PARTNER-001,1120,925,1315,Ensemble,0.0865
2025-10-13,ACC-APPLECARE-IPHONE,PARTNER-001,1180,975,1385,Ensemble,0.081
2025-10-20,ACC-APPLECARE-IPHONE,PARTNER-001,1003,828,1178,Ensemble,0.0841
2025-10-27,ACC-APPLECARE-IPHONE,PARTNER-001,1130,933,1327,Ensemble,0.0849
2025-11-03,ACC-APPLECARE-IPHONE,PARTNER-001,1108,915,1301,Ensemble,0.0882
2025-11-10,ACC-APPLECARE-IPHONE,PARTNER-001,1190,983,1397,Ensemble,0.0806
2025-11-17,ACC-APPLECARE-IPHONE,PARTNER-001,1449,1197,1701,Ensemble,0.078
2025-11-24,ACC-APPLECARE-IPHONE,PARTNER-001,1655,1367,1943,Ensemble,0.0819
2025-12-01,ACC-APPLECARE-IPHONE,PARTNER-001,1656,1368,1944,Ensemble,0.0854
2025-12-08,ACC-APPLECARE-IPHONE,PARTNER-001,1673,1382,1964,Ensemble,0.0956
2025-09-22,ACC-APPLECARE-IPHONE,PARTNER-002,971,802,1140,Ensemble,0.0856
2025-09-29,ACC-APPLECARE-IPHONE,PARTNER-002,886,732,1040,Ensemble,0.0834
2025-10-06,ACC-APPLECARE-IPHONE,PARTNER-002,992,819,1165,Ensemble,0.092
2025-10-13,ACC-APPLECARE-IPHONE,PARTNER-002,1022,844,1200,Ensemble,0.0792
2025-10-20,ACC-APPLECARE-IPHONE,PARTNER-002,982,811,1153,Ensemble,0.0885
2025-10-27,ACC-APPLECARE-IPHONE,PARTNER-002,1064,879,1249,Ensemble,0.0945
2025-11-03,ACC-APPLECARE-IPHONE,PARTNER-002,1029,850,1208,Ensemble,0.0918
2025-11-10,ACC-APPLECARE-IPHONE,PARTNER-002,1010,834,1186,Ensemble,0.0839
2025-11-17,ACC-APPLECARE-IPHONE,PARTNER-002,1427,1179,1675,Ensemble,0.085
2025-11-24,ACC-APPLECARE-IPHONE,PARTNER-002,1501,1240,1762,Ensemble,0.0947
2025-12-01,ACC-APPLECARE-IPHONE,PARTNER-002,1466,1211,1721,Ensemble,0.0951
2025-12-08,ACC-APPLECARE-IPHONE,PARTNER-002,1512,1249,1775,Ensemble,0.0818
2025-09-22,ACC-APPLECARE-IPHONE,PARTNER-003,591,488,694,Ensemble,0.0797
2025-09-29,ACC-APPLECARE-IPHONE,PARTNER-003,559,462,656,Ensemble,0.083
2025-10-06,ACC-APPLECARE-IPHONE,PARTNER-003,542,448,636,Ensemble,0.0815
2025-10-13,ACC-APPLECARE-IPHONE,PARTNER-003,574,474,674,Ensemble,0.0924
