date,product_id,partner_id,forecast_units,forecast_lower,forecast_upper,forecast_model,forecast_accuracy_mape
2025-09-22,ACC-APPLECARE-IPHONE,PARTNER-001,928,715,1141,ARIMA,0.1219
2025-09-22,ACC-APPLECARE-IPHONE,PARTNER-001,1008,810,1206,Prophet,0.1005
2025-09-22,ACC-APPLECARE-IPHONE,PARTNER-001,1087,863,1311,RF,0.1068
2025-09-22,ACC-APPLECARE-IPHONE,PARTNER-001,1129,933,1325,Ensemble,0.0883
2025-09-29,ACC-APPLECARE-IPHONE,PARTNER-001,1111,855,1367,ARIMA,0.1086
2025-09-29,ACC-APPLECARE-IPHONE,PARTNER-001,1196,962,1430,Prophet,0.0987
2025-09-29,ACC-APPLECARE-IPHONE,PARTNER-001,1139,904,1374,RF,0.1081
2025-09-29,ACC-APPLECARE-IPHONE,PARTNER-001,1224,1011,1437,Ensemble,0.079
2025-10-06,ACC-APPLECARE-IPHONE,PARTNER-001,1195,920,1470,ARIMA,0.1157
2025-10-06,ACC-APPLECARE-IPHONE,PARTNER-001,1130,909,1351,Prophet,0.1
2025-10-06,ACC-APPLECARE-IPHONE,PARTNER-001,1105,877,1333,RF,0.1098
2025-10-06,ACC-APPLECARE-IPHONE,PARTNER-001,1120,925,1315,Ensemble,0.0865
2025-10-13,ACC-APPLECARE-IPHONE,PARTNER-001,1019,785,1253,ARIMA,0.1167
2025-10-13,ACC-APPLECARE-IPHONE,PARTNER-001,1123,903,1343,Prophet,0.09
2025-10-13,ACC-APPLECARE-IPHONE,PARTNER-001,1078,856,1300,RF,0.0964
2025-10-13,ACC-APPLECARE-IPHONE,PARTNER-001,1180,975,1385,Ensemble,0.081
2025-10-20,ACC-APPLECARE-IPHONE,PARTNER-001,1035,797,1273,ARIMA,0.1213
2025-10-20,ACC-APPLECARE-IPHONE,PARTNER-001,1123,903,1343,Prophet,0.0973
2025-10-20,ACC-APPLECARE-IPHONE,PARTNER-001,1142,907,1377,RF,0.1053
2025-10-20,ACC-APPLECARE-IPHONE,PARTNER-001,1003,828,1178,Ensemble,0.0841
2025-10-27,ACC-APPLECARE-IPHONE,PARTNER-001,1090,839,1341,ARIMA,0.1108
2025-10-27,ACC-APPLECARE-IPHONE,PARTNER-001,1151,925,1377,Prophet,0.0893
2025-10-27,ACC-APPLECARE-IPHONE,PARTNER-001,1318,1046,1590,RF,0.1015
2025-10-27,ACC-APPLECARE-IPHONE,PARTNER-001,1130,933,1327,Ensemble,0.0849
2025-11-03,ACC-APPLECARE-IPHONE,PARTNER-001,1246,959,1533,ARIMA,0.1128
2025-11-03,ACC-APPLECARE-IPHONE,PARTNER-001,1175,945,1405,Prophet,0.1019
2025-11-03,ACC-APPLECARE-IPHONE,PARTNER-001,1184,940,1428,RF,0.1129
2025-11-03,ACC-APPLECARE-IPHONE,PARTNER-001,1108,915,1301,Ensemble,0.0882
2025-11-10,ACC-APPLECARE-IPHONE,PARTNER-001,1130,870,1390,ARIMA,0.1205
2025-11-10,ACC-APPLECARE-IPHONE,PARTNER-001,1108,891,1325,Prophet,0.1026
2025-11-10,ACC-APPLECARE-IPHONE,PARTNER-001,1103,876,1330,RF,0.0947
2025-11-10,ACC-APPLECARE-IPHONE,PARTNER-001,1190,983,1397,Ensemble,0.0806
2025-11-17,ACC-APPLECARE-IPHONE,PARTNER-001,1645,1267,2023,ARIMA,0.1171
2025-11-17,ACC-APPLECARE-IPHONE,PARTNER-001,1634,1314,1954,Prophet,0.0968
2025-11-17,ACC-APPLECARE-IPHONE,PARTNER-001,1529,1214,1844,RF,0.1079
2025-11-17,ACC-APPLECARE-IPHONE,PARTNER-001,1449,1197,1701,Ensemble,0.078
2025-11-24,ACC-APPLECARE-IPHONE,PARTNER-001,1540,1186,1894,ARIMA,0.1088
2025-11-24,ACC-APPLECARE-IPHONE,PARTNER-001,1654,1330,1978,Prophet,0.0902
2025-11-24,ACC-APPLECARE-IPHONE,PARTNER-001,1576,1251,1901,RF,0.1026
2025-11-24,ACC-APPLECARE-IPHONE,PARTNER-001,1655,1367,1943,Ensemble,0.0819
2025-12-01,ACC-APPLECARE-IPHONE,PARTNER-001,1570,1209,1931,ARIMA,0.1112
2025-12-01,ACC-APPLECARE-IPHONE,PARTNER-001,1666,1339,1993,Prophet,0.092
2025-12-01,ACC-APPLECARE-IPHONE,PARTNER-001,1662,1320,2004,RF,0.0982
2025-12-01,ACC-APPLECARE-IPHONE,PARTNER-001,1656,1368,1944,Ensemble,0.0854
2025-12-08,ACC-APPLECARE-IPHONE,PARTNER-001,1680,1294,2066,ARIMA,0.1189
2025-12-08,ACC-APPLECARE-IPHONE,PARTNER-001,1656,1331,1981,Prophet,0.0893
2025-12-08,ACC-APPLECARE-IPHONE,PARTNER-001,1546,1228,1864,RF,0.0951
2025-12-08,ACC-APPLECARE-IPHONE,PARTNER-001,1673,1382,1964,Ensemble,0.0956
2025-09-22,ACC-APPLECARE-IPHONE,PARTNER-002,962,741,1183,ARIMA,0.1107
2025-09-22,ACC-APPLECARE-IPHONE,PARTNER-002,948,762,1134,Prophet,0.0905
2025-09-22,ACC-APPLECARE-IPHONE,PARTNER-002,931,739,1123,RF,0.0973
2025-09-22,ACC-APPLECARE-IPHONE,PARTNER-002,971,802,1140,Ensemble,0.0856
2025-09-29,ACC-APPLECARE-IPHONE,PARTNER-002,954,735,1173,ARIMA,0.1158
2025-09-29,ACC-APPLECARE-IPHONE,PARTNER-002,984,791,1177,Prophet,0.0887
2025-09-29,ACC-APPLECARE-IPHONE,PARTNER-002,988,784,1192,RF,0.1008
2025-09-29,ACC-APPLECARE-IPHONE,PARTNER-002,886,732,1040,Ensemble,0.0834
2025-10-06,ACC-APPLECARE-IPHONE,PARTNER-002,1099,846,1352,ARIMA,0.1176
2025-10-06,ACC-APPLECARE-IPHONE,PARTNER-002,1015,816,1214,Prophet,0.1009
2025-10-06,ACC-APPLECARE-IPHONE,PARTNER-002,1045,830,1260,RF,0.0989
2025-10-06,ACC-APPLECARE-IPHONE,PARTNER-002,992,819,1165,Ensemble,0.092
2025-10-13,ACC-APPLECARE-IPHONE,PARTNER-002,952,733,1171,ARIMA,0.121
2025-10-13,ACC-APPLECARE-IPHONE,PARTNER-002,1127,906,1348,Prophet,0.0908
2025-10-13,ACC-APPLECARE-IPHONE,PARTNER-002,974,773,1175,RF,0.1115
2025-10-13,ACC-APPLECARE-IPHONE,PARTNER-002,1022,844,1200,Ensemble,0.0792
2025-10-20,ACC-APPLECARE-IPHONE,PARTNER-002,1016,782,1250,ARIMA,0.1238
2025-10-20,ACC-APPLECARE-IPHONE,PARTNER-002,1048,843,1253,Prophet,0.0996
2025-10-20,ACC-APPLECARE-IPHONE,PARTNER-002,964,765,1163,RF,0.1035
2025-10-20,ACC-APPLECARE-IPHONE,PARTNER-002,982,811,1153,Ensemble,0.0885
2025-10-27,ACC-APPLECARE-IPHONE,PARTNER-002,1034,796,1272,ARIMA,0.1095
2025-10-27,ACC-APPLECARE-IPHONE,PARTNER-002,1055,848,1262,Prophet,0.091
2025-10-27,ACC-APPLECARE-IPHONE,PARTNER-002,1034,821,1247,RF,0.1039
2025-10-27,ACC-APPLECARE-IPHONE,PARTNER-002,1064,879,1249,Ensemble,0.0945
2025-11-03,ACC-APPLECARE-IPHONE,PARTNER-002,1062,818,1306,ARIMA,0.1137
2025-11-03,ACC-APPLECARE-IPHONE,PARTNER-002,1079,868,1290,Prophet,0.0932
2025-11-03,ACC-APPLECARE-IPHONE,PARTNER-002,1010,802,1218,RF,0.1025
2025-11-03,ACC-APPLECARE-IPHONE,PARTNER-002,1029,850,1208,Ensemble,0.0918
2025-11-10,ACC-APPLECARE-IPHONE,PARTNER-002,966,744,1188,ARIMA,0.1219
